PERFORMANCE,DESCRICAO,SCENARIO,MARKET-TYPE,MBTI,E-I,S-N,T-F,J-P,SEED,TOTAL-DEMAND,CYCLES-TO-RETURN,MAX-VISITS-TO-AGENT,MIN-DISTANCE-TO-EXCLUDE
2082,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2020,4688,75,3,10
2141,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2020,4688,75,3,10
2059,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2020,4688,75,3,10
2076,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2021,4688,75,3,10
2031,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2021,4688,75,3,10
2053,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2021,4688,75,3,10
2106,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2020,4688,75,3,10
2111,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2020,4688,75,3,10
2084,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2021,4688,75,3,10
2050,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2021,4688,75,3,10
2068,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2021,4688,75,3,10
2137,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2022,4688,75,3,10
2046,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2021,4688,75,3,10
2138,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2021,4688,75,3,10
2038,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2021,4688,75,3,10
2063,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2021,4688,75,3,10
2046,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2021,4688,75,3,10
2049,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2021,4688,75,3,10
2096,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2022,4688,75,3,10
2063,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2021,4688,75,3,10
2128,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2022,4688,75,3,10
2119,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2022,4688,75,3,10
2107,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2022,4688,75,3,10
2118,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2022,4688,75,3,10
2107,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2022,4688,75,3,10
2105,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2022,4688,75,3,10
2129,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2022,4688,75,3,10
2126,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2022,4688,75,3,10
2126,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2022,4688,75,3,10
2113,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2022,4688,75,3,10
2119,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2023,4688,75,3,10
2138,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2022,4688,75,3,10
2120,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2022,4688,75,3,10
2105,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2022,4688,75,3,10
2122,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2022,4688,75,3,10
2113,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2022,4688,75,3,10
2084,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2022,4688,75,3,10
2079,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2022,4688,75,3,10
2085,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2022,4688,75,3,10
2105,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2023,4688,75,3,10
2122,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2023,4688,75,3,10
2103,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2023,4688,75,3,10
2116,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2022,4688,75,3,10
2061,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2023,4688,75,3,10
2143,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2023,4688,75,3,10
2103,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2023,4688,75,3,10
2115,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2023,4688,75,3,10
2103,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2023,4688,75,3,10
2152,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2023,4688,75,3,10
2110,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2023,4688,75,3,10
2050,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2023,4688,75,3,10
2144,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2023,4688,75,3,10
2123,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2023,4688,75,3,10
2008,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2023,4688,75,3,10
2099,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2023,4688,75,3,10
2078,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2023,4688,75,3,10
2054,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2023,4688,75,3,10
2064,PROF2 - ES+RANDOM,LOW,Balanced,ESRR,E,S,R,R,2024,4688,75,3,10
2060,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2024,4688,75,3,10
2067,PROF14 - INF+RANDOM,LOW,Balanced,INFR,I,N,F,R,2023,4688,75,3,10
2079,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2023,4688,75,3,10
2068,PROF3 - EN+RANDOM,LOW,Balanced,ENRR,E,N,R,R,2024,4688,75,3,10
2036,PROF9 - IS+RANDOM,LOW,Balanced,ISRR,I,S,R,R,2024,4688,75,3,10
2036,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2024,4688,75,3,10
2031,PROF10 - IN+RANDOM,LOW,Balanced,INRR,I,N,R,R,2024,4688,75,3,10
2026,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2023,4688,75,3,10
2051,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2024,4688,75,3,10
2053,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2024,4688,75,3,10
2051,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2024,4688,75,3,10
2052,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2025,4688,75,3,10
2025,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2024,4688,75,3,10
2063,PROF8 - I+RANDOM,LOW,Balanced,IRRR,I,R,R,R,2025,4688,75,3,10
2051,PROF15 - S+RANDOM,LOW,Balanced,RSRR,R,S,R,R,2025,4688,75,3,10
2055,PROF16 - N+RANDOM,LOW,Balanced,RNRR,R,N,R,R,2025,4688,75,3,10
2025,PROF20 - P+RANDOM,LOW,Balanced,RRRP,R,R,R,P,2024,4688,75,3,10
2023,PROF17 - T+RANDOM,LOW,Balanced,RRTR,R,R,T,R,2025,4688,75,3,10
2057,PROF18 - F+RANDOM,LOW,Balanced,RRFR,R,R,F,R,2025,4688,75,3,10
2023,PROF19 - J+RANDOM,LOW,Balanced,RRRJ,R,R,R,J,2025,4688,75,3,10
2126,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2024,4688,75,3,10
2136,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2024,4688,75,3,10
2072,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2024,4688,75,3,10
2048,PROF1 - E+RANDOM,LOW,Balanced,ERRR,E,R,R,R,2024,4688,75,3,10
2094,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2024,4688,75,3,10
2140,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2024,4688,75,3,10
2123,PROF5 - ESF+RANDOM,LOW,Balanced,ESFR,E,S,F,R,2025,4688,75,3,10
2120,PROF13 - INT+RANDOM,LOW,Balanced,INTR,I,N,T,R,2024,4688,75,3,10
2083,PROF6 - ENT+RANDOM,LOW,Balanced,ENTR,E,N,T,R,2025,4688,75,3,10
2124,PROF11 - IST+RANDOM,LOW,Balanced,ISTR,I,S,T,R,2024,4688,75,3,10
2083,PROF15 - RANDOM,LOW,Balanced,RRRR,R,R,R,R,2024,4688,75,3,10
2098,PROF4 - EST+RANDOM,LOW,Balanced,ESTR,E,S,T,R,2025,4688,75,3,10
2093,PROF7 - ENF+RANDOM,LOW,Balanced,ENFR,E,N,F,R,2025,4688,75,3,10
2092,PROF12 - ISF+RANDOM,LOW,Balanced,ISFR,I,S,F,R,2025,4688,75,3,10
