nb_number_of_cycles_to_return_interacted_agent,nb_max_number_of_visits_to_a_interacted_agent,nb_min_distance_to_exclude,performance
53,2,12,2149
67,2,12,2090
53,4,12,2147
53,2,12,2149
53,4,12,2147
67,2,12,2090
67,4,12,2063
67,4,12,2063
78,4,7,2128
92,4,7,2158
78,2,7,2166
78,4,7,2128
78,2,7,2166
92,4,7,2158
92,2,7,2135
92,2,7,2135
91,1,14,2124
54,1,14,2100
91,1,14,2124
91,1,5,2187
91,1,5,2187
54,1,5,2148
54,1,14,2100
54,1,5,2148
66,3,9,2144
79,3,9,2162
66,3,9,2144
66,3,10,2118
66,3,10,2118
79,3,10,2108
79,3,9,2162
79,3,10,2108
72,1,6,2126
86,1,6,2089
72,3,6,2114
72,1,14,2103
72,3,14,2098
86,1,14,2140
86,3,6,2159
86,3,14,2087
97,3,11,2131
61,3,11,2145
97,1,11,2107
97,3,9,2147
97,1,9,2097
61,3,9,2037
61,1,11,2076
61,1,9,2056
85,2,8,2132
98,2,8,2046
85,2,8,2132
85,2,6,2124
85,2,6,2124
98,2,6,2096
98,2,8,2046
98,2,6,2096
60,4,13,2102
73,4,13,2083
60,4,13,2102
60,4,11,2104
60,4,11,2104
73,4,11,2113
73,4,13,2083
73,4,11,2113
57,1,8,2138
57,1,8,2138
57,2,8,2027
57,1,11,2126
57,2,11,2128
57,1,11,2126
57,2,8,2027
57,2,11,2128
82,3,13,2112
82,3,13,2112
82,4,13,2137
82,3,6,2155
82,4,6,2024
82,3,6,2155
82,4,13,2137
82,4,6,2024
94,2,5,2135
70,2,5,2143
94,3,5,2025
94,2,8,2123
94,3,8,2111
70,2,8,2070
70,3,5,2098
70,3,8,2119
69,4,10,2130
95,4,10,2097
69,1,10,2155
69,4,13,2123
69,1,13,2104
95,4,13,2092
95,1,10,2118
95,1,13,2075
63,2,14,2043
89,2,14,2126
63,1,14,2127
63,2,12,2075
63,1,12,2170
89,2,12,2107
89,1,14,2155
89,1,12,2139
88,4,9,2113
64,4,9,2086
88,3,9,2101
88,4,7,2079
88,3,7,2085
64,4,7,2141
64,3,9,2093
64,3,7,2113
75,1,11,2115
76,1,11,2081
75,4,11,2053
75,1,9,2172
75,4,9,2110
76,1,9,2078
76,4,11,2090
76,4,9,2087
50,3,6,2110
51,3,6,2045
50,2,6,2146
50,3,14,2116
50,2,14,2153
51,3,14,2074
51,2,6,2110
51,2,14,2131
51,1,11,2121
83,1,11,2114
51,1,11,2121
51,1,11,2121
51,1,11,2121
83,1,11,2114
83,1,11,2114
83,1,11,2114
76,3,6,2061
58,3,6,2053
76,3,6,2061
76,3,6,2061
76,3,6,2061
58,3,6,2053
58,3,6,2053
58,3,6,2053
88,2,13,2147
95,2,13,2101
88,4,13,2133
88,2,9,2103
88,4,9,2113
95,2,9,2148
95,4,13,2092
95,4,9,2052
63,4,8,2056
70,4,8,2082
63,2,8,2063
63,4,14,2069
63,2,14,2043
70,4,14,2148
70,2,8,2070
70,2,14,2108
69,2,5,2126
64,2,5,2164
69,2,5,2126
69,2,10,2110
69,2,10,2110
64,2,10,2156
64,2,5,2164
64,2,10,2156
94,4,10,2082
89,4,10,2121
94,4,10,2082
94,4,5,2163
94,4,5,2163
89,4,5,2099
89,4,10,2121
89,4,5,2099
82,1,7,2147
52,1,7,2121
82,3,7,2030
82,1,7,2147
82,3,7,2030
52,1,7,2121
52,3,7,2138
52,3,7,2138
57,3,12,2088
77,3,12,2163
57,1,12,2128
57,3,12,2088
57,1,12,2128
77,3,12,2163
77,1,12,2095
77,1,12,2095
60,2,8,2156
92,2,8,2077
60,3,8,2094
60,2,14,2068
60,3,14,2039
92,2,14,2158
92,3,8,2123
92,3,14,2081
85,4,13,2153
67,4,13,2096
85,1,13,2117
85,4,9,2086
85,1,9,2135
